title,price,link
Private room in Daly City,"$60 
night
$60 per night",https://www.airbnb.com/rooms/790091153122760225?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-30&check_out=2023-07-05&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$134 
$106 
night
$106 per night, originally $134",https://www.airbnb.com/rooms/780626885985055979?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$94 
$55 
night
$55 per night, originally $94",https://www.airbnb.com/rooms/617486252339953334?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-02&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$80 
$64 
night
$64 per night, originally $80",https://www.airbnb.com/rooms/662389107055100097?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$85 
night
$85 per night",https://www.airbnb.com/rooms/26261610?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-15&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in Daly City,"$75 
$68 
night
$68 per night, originally $75",https://www.airbnb.com/rooms/50013296?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Apartment in South San Francisco,"$121 
$85 
night
$85 per night, originally $121",https://www.airbnb.com/rooms/49247318?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$92 
night
$92 per night",https://www.airbnb.com/rooms/52030809?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$74 
$53 
night
$53 per night, originally $74",https://www.airbnb.com/rooms/28932960?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-12&check_out=2023-05-17&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Private room in San Francisco,"$76 
$67 
night
$67 per night, originally $76",https://www.airbnb.com/rooms/589020902524503434?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-22&check_out=2023-05-29&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Guest suite in San Francisco,"$199 
$154 
night
$154 per night, originally $199",https://www.airbnb.com/rooms/38609924?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-30&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=a9756ee1-1b69-45ef-a9e4-85ae125e897d
Hotel room in San Francisco,"$94 
$75 
night
$75 per night, originally $94",https://www.airbnb.com/rooms/35691437?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=c1f128a6-5f64-40c5-9b74-09061bf05860
Private room in Daly City,"$50 
night
$50 per night",https://www.airbnb.com/rooms/842172248569689227?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=c1f128a6-5f64-40c5-9b74-09061bf05860
Private room in San Francisco,"$70 
$56 
night
$56 per night, originally $70",https://www.airbnb.com/rooms/41209658?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-25&previous_page_section_name=1000&federated_search_id=c1f128a6-5f64-40c5-9b74-09061bf05860
Hotel room in San Francisco,"$76 
night
$76 per night",https://www.airbnb.com/rooms/792406957707398638?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-18&check_out=2023-04-23&previous_page_section_name=1000&federated_search_id=c1f128a6-5f64-40c5-9b74-09061bf05860
